Experiment:,Vary_Generation_Count,,,,
,,,,,
Simulation Parameters:,,,,,
Seed:,2397997808,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.066665,0.987313,14,'11111111101011000110'
2,1,0.39962,0.987615,15,'11111111101011100110'
2,2,0.700141,0.989738,16,'11111111101111000111'
2,3,0.886754,0.990031,16,'11111111101111100110'
2,4,0.824681,0.990192,18,'11111111101111110111'
2,5,0.792033,0.990192,18,'11111111101111110111'
2,6,0.895443,0.990192,18,'11111111101111110111'
2,7,0.789003,0.990192,18,'11111111101111110111'
2,8,0.777292,0.990192,18,'11111111101111110111'
2,9,0.852833,0.990192,18,'11111111101111110111'
2,10,0.838822,0.990173,17,'11111111101111110101'
2,11,0.744686,0.990258,18,'11111111101111111110'
2,12,0.723259,0.991251,15,'11111111110001100111'
2,13,0.737827,0.991327,16,'11111111110001101111'
2,14,0.785763,0.991251,15,'11111111110001100111'
2,15,0.903376,0.997457,17,'11111111111011110101'
2,16,0.785304,0.994283,16,'11111111110110100111'
2,17,0.818418,0.996106,16,'11111111111001100111'
2,18,0.849559,0.996106,16,'11111111111001100111'
2,19,0.918276,0.984234,17,'11111111100101111111'
2,20,0.901092,0.985438,18,'11111111100111111111'
2,21,0.797838,0.991251,15,'11111111110001100111'
2,22,0.852375,0.991251,15,'11111111110001100111'
2,23,0.813513,0.997323,17,'11111111111011100111'
2,24,0.824077,0.993657,15,'11111111110101100101'
2,25,0.913434,0.991327,16,'11111111110001101111'
2,26,0.825271,0.991251,15,'11111111110001100111'
2,27,0.758712,0.986267,15,'11111111101001010111'
2,28,0.731866,0.986267,15,'11111111101001010111'
2,29,0.813745,0.986342,16,'11111111101001011111'
2,30,0.801285,0.986305,15,'11111111101001011011'
2,31,0.700244,0.986305,15,'11111111101001011011'
2,32,0.795247,0.986474,15,'11111111101001101101'
2,33,0.821537,0.986606,16,'11111111101001111011'
2,34,0.769544,0.97801,16,'11111111011011100111'
2,35,0.733145,0.999762,18,'11111111111111100111'
2,36,0.692517,0.999762,18,'11111111111111100111'
2,37,0.765349,0.986069,12,'11111111101001000010'
2,38,0.763265,0.986135,13,'11111111101001001001'
2,39,0.67494,0.981333,12,'11111111100001001010'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.0970003,0.592967,15,'11110010111101101111'
3,1,0.34443,0.585714,12,'11110010101010100111'
3,2,0.468939,0.746099,11,'11111000100111000101'
3,3,0.48044,0.631971,10,'11110100100001000111'
3,4,0.503347,0.809365,12,'11111010101001000111'
3,5,0.45912,0.689091,12,'11110110101001000111'
3,6,0.40902,0.689091,12,'11110110101001000111'
3,7,0.485971,0.689077,11,'11110110101001000101'
3,8,0.546086,0.748447,10,'11111000101100000101'
3,9,0.505966,0.749631,12,'11111000101110100110'
3,10,0.479277,0.749638,13,'11111000101110100111'
3,11,0.547521,0.643985,14,'11110100111110100111'
3,12,0.536611,0.698534,15,'11110110111110100111'
3,13,0.513177,0.663975,14,'11110101101110100111'
3,14,0.53696,0.662341,14,'11110101101010101111'
3,15,0.489008,0.779353,13,'11111001101100100111'
3,16,0.520039,0.922071,16,'11111101111011100111'
3,17,0.523181,0.922071,16,'11111101111011100111'
3,18,0.6254,0.922213,17,'11111101111011110111'
